PeopleName,Country,Population,Language,Religion,Latitude,Longitude,Global Status of  Evangelical Christianity,Evangelical Engagement,Physical Exertion,Freedom Index,Government Restrictions Index,Social Hostilities Index,Threat Level,ROP1,ROP2,ROP3,People Name,GENC,FIPS,FIPS of Origin,,,IMB Affinity Group,Not Engaged Anywhere,SPI,Strategic Priority Index,Population Layer,Indigenous,ISOalpha3
Chong,Thailand,700,Chong,Ethnoreligion - Animism,12.87518,102.16769,1,Unengaged,Medium,Partly Free,Moderate,High,Level 1: Exercise Normal Precautions,A011,C0147,102183,Chong,THA,TH,CB,,,Asian Pacific Rim Peoples,,0,Unengaged and Unreached,"<10,000",Indigenous,THA
"Chontal, Highland Oaxaca",Mexico,4100,Spanish,Christianity - Folk Catholicism,16.173889,-95.886389,5,Engaged,Medium,Partly Free,Moderate,High,Other,A007,C0136,103772,"Chontal, Highland Oaxaca",MEX,MX,,,,American Peoples,,2,No Longer Unreached,"<10,000",Indigenous,MEX
"Chontal, Lowland Oaxaca",Mexico,1100,Spanish,Christianity - Folk Catholicism,16.025,-95.665278,5,Engaged,Medium,Partly Free,Moderate,High,Other,A007,C0136,105886,"Chontal, Lowland Oaxaca",MEX,MX,,,,American Peoples,,2,No Longer Unreached,"<10,000",Indigenous,MEX
"Chontal, Tabasco",Mexico,84000,Spanish,Christianity - Folk Catholicism,18.135556,-92.861667,6,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0136,109673,"Chontal, Tabasco",MEX,MX,,,,American Peoples,Yes,2,No Longer Unreached,"50,000+",Indigenous,MEX
Chopan,India,49000,Kashmiri,Islam - Sunni,34.15704,74.8897,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0321,118726,Chopan,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,IND
Chopi,Mozambique,711000,Chopi,Ethnoreligion - Animism,-24.717,34.7403,1,Engaged,Extreme,Partly Free,Low,Low,Level 2: Exercise Increased Caution,A013,C0263,102188,Chopi,MOZ,MZ,,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,MOZ
Chorote,Argentina,1300,Iyojwa’ja Chorote,Ethnoreligion,-22.1896,-63.23831,6,Engaged,Low,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A007,C0201,102190,"Chorote, Eklenjuy",ARG,AR,,,,American Peoples,,2,No Longer Unreached,"<10,000",Indigenous,ARG
Chorti,Guatemala,118000,Ch’orti’,Christianity - Folk Catholicism,14.8216,-89.3716,1,Engaged,Strenuous,Partly Free,Low,Low,Level 3: Reconsider Travel,A007,C0136,102193,Chorti,GTM,GT,,,,American Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,GTM
Chorti,Honduras,7400,Spanish,Ethnoreligion,14.83711,-89.12916,1,Engaged,Strenuous,Partly Free,Low,Low,Level 3: Reconsider Travel,A007,C0136,102193,Chorti,HND,HO,GT,,,American Peoples,,1,Engaged yet Unreached,"<10,000",Indigenous,HND
Choupal,India,152000,Surjapuri,Hinduism - Folk,25.686,85.792,1,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0289,111852,Chaupal,IND,IN,,,,South Asian Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,IND
Chrau,Vietnam,27000,Chrau,Ethnoreligion - Animism,10.80208,107.29291,6,Engaged,Medium,Not Free,Very High,Low,Level 1: Exercise Normal Precautions,A011,C0147,102198,Chrau,VNM,VM,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"10,000+",Indigenous,VNM
Christmas Island Deaf,Christmas Island,15,Undetermined,Unknown,-10.426,105.672,0,Unengaged,Medium,Free,Low,Moderate,Caution,A017,C0252,114916,Deaf,CXR,KT,,,,Deaf Peoples,,0,Unengaged and Unreached,"<10,000",Indigenous,CXR
Chru,Vietnam,19500,Chru,Ethnoreligion - Animism,11.66249,108.52928,6,Engaged,Medium,Not Free,Very High,Low,Level 1: Exercise Normal Precautions,A011,C0064,102202,Chru,VNM,VM,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"10,000+",Indigenous,VNM
Chuabo,Mozambique,2150000,Chuwabu,Ethnoreligion,-17.34285,37.12307,3,Engaged,Extreme,Partly Free,Low,Low,Level 2: Exercise Increased Caution,A013,C0035,102227,Chwabo,MOZ,MZ,,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"1,000,000+",Indigenous,MOZ
Chuanlan,China,408000,Mandarin Chinese,Ethnoreligion,26.452996,105.902136,4,Unengaged,Medium,Not Free,Very High,Low,Other,A014,C0229,114027,Chuanlan,CHN,CH,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"100,000+",Indigenous,CHN
Chuave,Papua New Guinea,55500,Chuave,Christianity - Non-Evangelical Protestant,-6.17824,145.13949,5,Engaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,102203,Chuave,PNG,PP,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"50,000+",Indigenous,PNG
Chudiya,India,29500,Odia,Hinduism,19.384291,85.056358,1,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,111824,Chuditya,IND,IN,,,,South Asian Peoples,,1,Engaged yet Unreached,"10,000+",Indigenous,IND
Chuhra,India,57500,Dogri,Hinduism,31.103,77.135,6,Engaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0292,111825,Chuhra,IND,IN,,,,South Asian Peoples,,2,No Longer Unreached,"50,000+",Indigenous,IND
Chuj,Guatemala,96500,Chuj,Christianity - Folk Catholicism,15.736949,-91.562483,4,Engaged,Strenuous,Partly Free,Low,Low,Level 3: Reconsider Travel,A007,C0136,108618,"Chuj, San Mateo Ixtatan",GTM,GT,,,,American Peoples,,2,No Longer Unreached,"50,000+",Indigenous,GTM
Chuj,Mexico,3800,Spanish,Christianity - Folk Catholicism,15.920964,-91.904623,6,Unengaged,Medium,Partly Free,Moderate,High,Other,A007,C0136,108618,"Chuj, San Mateo Ixtatan",MEX,MX,GT,,,American Peoples,,2,No Longer Unreached,"<10,000",Indigenous,MEX
Chuj,United States,450,Chuj,Ethnoreligion,34.826834,-82.453612,6,Engaged,Little,Free,Moderate,High,Caution,A007,C0136,108618,"Chuj, San Mateo Ixtatan",USA,US,GT,,,American Peoples,,2,No Longer Unreached,"<10,000",Diaspora,USA
Chuka,Kenya,243000,Gichuka,Ethnoreligion - Animism,-0.3623,37.713,5,Unengaged,Strenuous,Partly Free,High,High,Level 2: Exercise Increased Caution,A013,C0268,102210,Chuka,KEN,KE,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"100,000+",Indigenous,KEN
Chukchi,Russian Federation,16000,Russian,Ethnoreligion - Shamanism,68.64356,170.04503,1,Engaged,Low,Not Free,Very High,Very High,Level 4: Do Not Travel,A015,C0223,102211,Chukchi,RUS,RS,,,,European Peoples,,1,Engaged yet Unreached,"10,000+",Indigenous,RUS
Chumash,United States,150,English,Christianity - Non-Evangelical Protestant,35.04668,-120.523121,4,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,102215,Chumash,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,USA
Chunari,India,62500,Bengali,Hinduism,23.140979,87.134957,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,116132,Chunari,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"50,000+",Indigenous,IND
Chung,Cambodia,450,Khmer,Ethnoreligion - Animism,10.87391,103.83516,1,Engaged,Strenuous,Not Free,Moderate,Moderate,Level 1: Exercise Normal Precautions,A011,C0147,108690,Chung (Cambodia),KHM,CB,,,,Asian Pacific Rim Peoples,,1,Engaged yet Unreached,"<10,000",Indigenous,KHM
Chungar,India,6000,Urdu,Islam - Sunni,28.01989,73.317553,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0321,111780,Changar,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Churaute,Nepal,8100,Nepali,Islam - Sunni,26.66,86.89,1,Unengaged,Strenuous,Partly Free,Moderate,High,Level 2: Exercise Increased Caution,A012,C0321,111819,Churaute,NPL,NP,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,NPL
Chut,Laos,1500,Chut,Ethnoreligion - Animism,17.644386,105.760697,0,Unengaged,Strenuous,Not Free,High,Moderate,Level 2: Exercise Increased Caution,A011,C0147,108497,Sach,LAO,LA,VM,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,LAO
Chut,Vietnam,6000,Chut,Ethnoreligion,17.74065,105.78465,0,Unengaged,Medium,Not Free,Very High,Low,Level 1: Exercise Normal Precautions,A011,C0147,108497,Sach,VNM,VM,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,VNM
Chuvash,Kazakhstan,15500,Chuvash,Christianity - Eastern Orthodox,51.232904,51.394673,1,Unengaged,Low,Not Free,High,Moderate,Level 1: Exercise Normal Precautions,A015,C0223,102226,Chuvash,KAZ,KZ,RS,,,European Peoples,,0,Unengaged and Unreached,"10,000+",Diaspora,KAZ
Chuvash,Russian Federation,1650000,Chuvash,Unaffiliated,55.48701,47.16298,1,Engaged,Low,Not Free,Very High,Very High,Level 4: Do Not Travel,A015,C0223,102226,Chuvash,RUS,RS,,,,European Peoples,,1,Engaged yet Unreached,"1,000,000+",Indigenous,RUS
Chuvash,Tajikistan,5000,Chuvash,Christianity - Eastern Orthodox,38.579883,68.728809,1,Unengaged,Strenuous,Not Free,High,Low,Level 2: Exercise Increased Caution,A015,C0223,102226,Chuvash,TJK,TI,RS,,,European Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,TJK
Chuvash,Turkmenistan,4100,Chuvash,Christianity - Eastern Orthodox,41.884814,59.621983,1,Unengaged,Medium,Not Free,High,Low,Level 1: Exercise Normal Precautions,A015,C0223,102226,Chuvash,TKM,TX,RS,,,European Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,TKM
Chuvash,Uzbekistan,18000,Chuvash,Christianity - Eastern Orthodox,41.299016,69.240667,1,Unengaged,Medium,Not Free,Very High,Low,Level 1: Exercise Normal Precautions,A015,C0223,102226,Chuvash,UZB,UZ,RS,,,European Peoples,,0,Unengaged and Unreached,"10,000+",Diaspora,UZB
Ci,Benin,51500,Ci Gbe,Ethnoreligion,6.84217,2.02134,4,Unengaged,Strenuous,Partly Free,Low,High,Level 2: Exercise Increased Caution,A013,C0085,114558,Ci-Gbe,BEN,BN,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"50,000+",Indigenous,BEN
Cia Cia,Indonesia,87500,Cia-Cia,Islam - Sunni,-5.68289,122.79103,1,Engaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0220,102228,Cia-Cia,IDN,ID,,,,Asian Pacific Rim Peoples,,1,Engaged yet Unreached,"50,000+",Indigenous,IDN
Cinamiguin Manobo,Philippines,39500,Kinamiging Manobo,Christianity - Roman Catholicism,9.1793,124.72128,5,Unengaged,Medium,Partly Free,Low,High,Level 2: Exercise Increased Caution,A008,C0072,102231,"Manobo, Cinamiguin",PHL,RP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,PHL
Cingatanmar,India,1200,Malayalam,Hinduism,11.873958,75.37075,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,111842,Chingathanar,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Cinta Larga,Brazil,1900,Cinta Larga,Ethnoreligion,-11.6628,-60.1728,5,Engaged,Medium,Free,Low,Moderate,Level 2: Exercise Increased Caution,A007,C0201,102233,Cinta Larga,BRA,BR,,,,American Peoples,,2,No Longer Unreached,"<10,000",Indigenous,BRA
Cippollu,India,128000,Telugu,Hinduism,17.974439,79.919269,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,117749,Chippollu,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"100,000+",Indigenous,IND
Cishinga,Zambia,97500,Bemba,Ethnoreligion,-9.8145,29.392,1,Unengaged,Strenuous,Partly Free,Moderate,Moderate,Level 1: Exercise Normal Precautions,A013,C0262,102235,Cishinga,ZMB,ZA,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"50,000+",Indigenous,ZMB
Citak Asmat,Indonesia,13500,Citak,Christianity - Evangelical Protestant,-5.58276,139.46085,6,Engaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,102236,Citak Asmat,IDN,ID,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"10,000+",Indigenous,IDN
Citrakar,India,18500,Bengali,Hinduism,20.950472,85.100703,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0343,111808,"Chitrakar, Hindu",IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,IND
Citrakathi,India,700,Marathi,Hinduism,17.209353,73.334472,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,118911,Chitrakathi,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
Coastal Kadazan,Malaysia,131000,Papar,Ethnoreligion,5.49,115.584,4,Unengaged,Low,Partly Free,High,High,Level 1: Exercise Normal Precautions,A008,C0059,102242,Kadazan Dusun,MYS,MY,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"100,000+",Indigenous,MYS
Coastal Swahili,Kenya,57000,Swahili,Islam - Sunni,-2.177429,40.823181,1,Engaged,Strenuous,Partly Free,High,High,Level 2: Exercise Increased Caution,A013,C0275,109644,Swahili,KEN,KE,CG,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"50,000+",Indigenous,KEN
Coastal Swahili,Tanzania,1015000,Swahili,Islam - Sunni,-6.82292,39.26966,1,Engaged,Strenuous,Partly Free,Moderate,Moderate,Level 2: Exercise Increased Caution,A013,C0275,109644,Swahili,TZA,TZ,CG,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"1,000,000+",Indigenous,TZA
Cocama-Cocamilla,Colombia,2200,Spanish,Ethnoreligion,-3.7601,-70.411,1,Unengaged,Medium,Free,Moderate,Moderate,Level 3: Reconsider Travel,A007,C0083,102247,Kokama,COL,CO,PE,,,American Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,COL
Cocama-Cocamilla,Peru,11500,Charapa Spanish,Ethnoreligion - Animism,-5.72673,-74.67422,4,Engaged,Medium,Partly Free,Moderate,Low,Level 2: Exercise Increased Caution,A007,C0083,102247,Kokama,PER,PE,,,,American Peoples,,2,No Longer Unreached,"10,000+",Indigenous,PER
Cocopa,Mexico,225,Spanish,Christianity - Folk Catholicism,32.126111,-115.273056,6,Engaged,Medium,Partly Free,Moderate,High,Other,A007,C0165,102250,Cocopah,MEX,MX,US,,,American Peoples,,2,No Longer Unreached,"<10,000",Indigenous,MEX
Cocopa,United States,800,Cocopa,Christianity - Non-Evangelical Protestant,32.60671,-114.71024,4,Unengaged,Little,Free,Moderate,High,Caution,A007,C0165,102250,Cocopah,USA,US,,,,American Peoples,,2,No Longer Unreached,"<10,000",Indigenous,USA
Cocos Deaf,Cocos (Keeling) Islands,5,Undetermined,Islam - Folk,-12.119,96.895,0,Unengaged,Medium,Free,Low,Moderate,Caution,A017,C0252,114916,Deaf,CCK,CK,,,,Deaf Peoples,,0,Unengaged and Unreached,"<10,000",Indigenous,CCK
Cocos Islander,Cocos (Keeling) Islands,550,Cocos Islands Malay,Islam - Sunni,-12.185468,96.831418,1,Unengaged,Medium,Free,Low,Moderate,Caution,A008,C0123,102252,"Malay, Cocos Islands",CCK,CK,,,,Asian Pacific Rim Peoples,,0,Unengaged and Unreached,"<10,000",Indigenous,CCK
Cocos Islands Malay,Christmas Island,250,Cocos Islands Malay,Islam - Sunni,-10.492947,105.629265,4,Engaged,Medium,Free,Low,Moderate,Caution,A008,C0123,102252,"Malay, Cocos Islands",CXR,KT,CK,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"<10,000",Diaspora,CXR
Coeur d'Alene,United States,100,English,Christianity - Non-Evangelical Protestant,47.29583,-116.71512,6,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,102253,Coeur d'Alene,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,USA
Cofan,Colombia,1000,Cofán,Ethnoreligion - Animism,0.3095,-76.9685,4,Unengaged,Medium,Free,Moderate,Moderate,Level 3: Reconsider Travel,A007,C0201,102254,Cofan,COL,CO,EC,,,American Peoples,,2,No Longer Unreached,"<10,000",Indigenous,COL
Cofan,Ecuador,2200,Cofán,Ethnoreligion - Animism,0.3214,-77.4704,5,Engaged,Medium,Partly Free,Low,Low,Level 2: Exercise Increased Caution,A007,C0201,102254,Cofan,ECU,EC,,,,American Peoples,,2,No Longer Unreached,"<10,000",Indigenous,ECU
Colla,Chile,3800,South Bolivian Quechua,Christianity - Folk Catholicism,-23.264,-67.446,5,Unengaged,Low,Free,Low,Low,Level 2: Exercise Increased Caution,A007,C0185,108239,"Quechua, Northwest Jujuy",CHL,CI,AR,,,American Peoples,,2,No Longer Unreached,"<10,000",Diaspora,CHL
Colombian,Canada,102000,Spanish,Christianity - Roman Catholicism,45.550881,-73.617598,5,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A007,C0093,116025,"Colombian, Mestizo",CAN,CA,,,,American Peoples,,2,No Longer Unreached,"100,000+",Diaspora,CAN
Colombian,Colombia,47170000,Spanish,Christianity - Folk Catholicism,4.593902,-74.11959,5,Engaged,Medium,Free,Moderate,Moderate,Level 3: Reconsider Travel,A007,C0093,116025,"Colombian, Mestizo",COL,CO,,,,American Peoples,,2,No Longer Unreached,"10,000,000+",Indigenous,COL
Colombian,United States,1035000,Spanish,Christianity - Roman Catholicism,40.618793,-73.996941,4,Engaged,Little,Free,Moderate,High,Caution,A007,C0093,116025,"Colombian, Mestizo",USA,US,CO,,,American Peoples,,2,No Longer Unreached,"1,000,000+",Diaspora,USA
Colombian,Venezuela,192000,Spanish,Christianity - Folk Catholicism,10.470912,-66.705417,5,Unengaged,Medium,Not Free,Moderate,Low,Level 4: Do Not Travel,A007,C0093,116025,"Colombian, Mestizo",VEN,VE,CO,,,American Peoples,,2,No Longer Unreached,"100,000+",Diaspora,VEN
Coloured,Namibia,256000,Afrikaans,Christianity - Non-Evangelical Protestant,-22.530911,17.057052,1,Engaged,Strenuous,Free,Low,Low,Level 2: Exercise Increased Caution,A013,C0173,102964,Coloured,NAM,WA,SF,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,NAM
Columbia River Sahaptin,United States,175,English,Christianity - Non-Evangelical Protestant,45.63915,-118.55167,4,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,102266,"Sahaptin, Columbia River",USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,USA
Columbia-Wenatchi,United States,750,English,Christianity - Non-Evangelical Protestant,48.21697,-118.45361,4,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,102267,Columbia-Wenatchi,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,USA
Colville,United States,9300,English,Christianity - Non-Evangelical Protestant,48.29992,-119.18951,4,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,116302,Colville,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,USA
Comanche,United States,14000,English,Christianity - Non-Evangelical Protestant,34.57014,-98.42395,5,Engaged,Little,Free,Moderate,High,Caution,A009,C0154,102269,Comanche,USA,US,,,,American Peoples,,2,No Longer Unreached,"10,000+",Indigenous,USA
Comechingon,Argentina,37000,Spanish,Christianity - Folk Catholicism,-33.1135,-64.3445,4,Unengaged,Low,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A007,C0201,116317,Comechingon,ARG,AR,,,,American Peoples,Yes,2,No Longer Unreached,"10,000+",Indigenous,ARG
Comorian,Canada,45,Maore Comorian,Islam - Sunni,43.772376,-79.314964,1,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A013,C0275,115069,"Comorian, Maore",CAN,CA,MF,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,CAN
Comorian,Eswatini,750,Ngazidja Comorian,Islam - Sunni,-26.287178,31.103785,4,Unengaged,Strenuous,Not Free,Moderate,Low,Level 2: Exercise Increased Caution,A013,C0275,115069,"Comorian, Maore",SWZ,WZ,MF,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"<10,000",Diaspora,SWZ
Comorian,France,98500,Maore Comorian,Islam - Sunni,48.913795,2.290534,1,Engaged,Little,Free,Moderate,High,Level 2: Exercise Increased Caution,A013,C0275,115069,"Comorian, Maore",FRA,FR,MF,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"50,000+",Diaspora,FRA
Comorian,Madagascar,150000,Maore Comorian,Islam - Sunni,-18.8926,47.55,1,Engaged,Strenuous,Partly Free,Moderate,Moderate,Level 2: Exercise Increased Caution,A013,C0275,115069,"Comorian, Maore",MDG,MA,MF,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"100,000+",Diaspora,MDG
Comorian,Reunion,600,Maore Comorian,Islam - Sunni,-20.8903,55.4658,1,Unengaged,Medium,Free,Moderate,High,Caution,A013,C0275,115069,"Comorian, Maore",REU,RE,MF,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"<10,000",Diaspora,REU
Comorian Maori,Mayotte,209000,Maore Comorian,Islam - Sunni,-12.783735,45.216985,1,Engaged,Medium,Free,Moderate,High,Caution,A013,C0275,115069,"Comorian, Maore",MYT,MF,,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,MYT
Comorian Mwali,Comoros,40000,Mwali Comorian,Islam - Sunni,-12.282012,43.736983,1,Unengaged,Strenuous,Partly Free,Moderate,Low,Level 1: Exercise Normal Precautions,A013,C0275,115067,"Comorian, Mwali",COM,CN,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"10,000+",Indigenous,COM
Comorian Ngazidja,Comoros,425000,Ngazidja Comorian,Islam - Sunni,-11.7131,43.2501,1,Engaged,Strenuous,Partly Free,Moderate,Low,Level 1: Exercise Normal Precautions,A013,C0275,102273,"Comorian, Ngazidja",COM,CN,,,,Sub-Saharan African Peoples,,1,Engaged yet Unreached,"100,000+",Indigenous,COM
Comorian Nzwani,Comoros,380000,Ndzwani Comorian,Islam - Sunni,-12.198166,44.271734,1,Unengaged,Strenuous,Partly Free,Moderate,Low,Level 1: Exercise Normal Precautions,A013,C0275,115068,"Comorian, Ndzwani",COM,CN,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"100,000+",Indigenous,COM
Comox,Canada,1300,English,Christianity - Non-Evangelical Protestant,49.6793,-124.9543,6,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A009,C0154,102277,Comox,CAN,CA,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,CAN
Cong,Vietnam,2000,Côông,Ethnoreligion - Animism,22.298363,102.789892,1,Unengaged,Medium,Not Free,Very High,Low,Level 1: Exercise Normal Precautions,A014,C0229,108015,Phunoi,VNM,VM,LA,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"<10,000",Diaspora,VNM
Congolese,Belgium,15500,Lingala,Christianity - Roman Catholicism,50.836224,4.364774,6,Engaged,Little,Free,Moderate,Moderate,Level 2: Exercise Increased Caution,A013,C0258,105785,Lingala,BEL,BE,CF,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"10,000+",Diaspora,BEL
Congolese,Spain,4800,French,Christianity - Roman Catholicism,40.379728,-3.732563,4,Engaged,Little,Free,Moderate,High,Level 2: Exercise Increased Caution,A013,C0258,102282,"Congolese, French-Speaking",ESP,SP,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"<10,000",Diaspora,ESP
Congolese,Uganda,25500,Lingala,Christianity - Neo-Pentecostalism,-0.030264,29.770138,5,Unengaged,Strenuous,Not Free,Moderate,High,Level 3: Reconsider Travel,A013,C0258,105785,Lingala,UGA,UG,CF,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"10,000+",Diaspora,UGA
Congolese,United States,37500,Lingala,Christianity - Neo-Pentecostalism,41.741,-87.605,4,Engaged,Little,Free,Moderate,High,Caution,A013,C0258,105785,Lingala,USA,US,CF,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"10,000+",Diaspora,USA
Cook Islands Deaf,Cook Islands,100,Undetermined,Unknown,-21.2069,-159.77,0,Unengaged,Medium,Free,Low,Moderate,Caution,A017,C0252,114916,Deaf,COK,CW,,,,Deaf Peoples,,0,Unengaged and Unreached,"<10,000",Indigenous,COK
Cook Islands Maori,Cook Islands,12500,Cook Islands Maori,Christianity - Non-Evangelical Protestant,-21.222,-159.828,6,Engaged,Medium,Free,Low,Moderate,Caution,A010,C0180,102284,Cook Islands Maori,COK,CW,NZ,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"10,000+",Indigenous,COK
Cook Islands Maori,French Polynesia,1800,Cook Islands Maori,Christianity - Non-Evangelical Protestant,-17.54504,-149.580129,6,Engaged,Medium,Free,Moderate,High,Level 1: Exercise Normal Precautions,A010,C0180,102284,Cook Islands Maori,PYF,FP,NZ,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"<10,000",Diaspora,PYF
Cook Islands Maori,New Zealand,73500,Cook Islands Maori,Christianity - Evangelical Protestant,-43.5642,172.6323,6,Unengaged,Little,Free,Low,Low,Level 1: Exercise Normal Precautions,A010,C0180,102284,Cook Islands Maori,NZL,NZ,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"50,000+",Indigenous,NZL
Coorgi Andamanese,India,1900,Andaman Hindi Creole,Hinduism,12.820211,92.759954,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,117122,Coorgi,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"<10,000",Indigenous,IND
"Coos, Hanis",United States,175,English,Christianity - Non-Evangelical Protestant,43.3646,-124.3258,5,Unengaged,Little,Free,Moderate,High,Caution,A009,C0154,102285,Coos,USA,US,,,,American Peoples,Yes,2,No Longer Unreached,"<10,000",Indigenous,USA
Coquille,United States,600,English,Ethnoreligion - Native American religions,43.394329,-124.219609,1,Unengaged,,,,,,A009,C0154,119481,Coquille,USA,US,,,,American Peoples,,0,Unengaged and Unreached,"<10,000",Indigenous,USA
Cora,Mexico,34000,El Nayar Cora,Christianity - Folk Catholicism,22.250833,-104.517222,1,Engaged,Medium,Partly Free,Moderate,High,Other,A007,C0029,102289,Cora,MEX,MX,,,,American Peoples,,1,Engaged yet Unreached,"10,000+",Indigenous,MEX
Cora,United States,650,El Nayar Cora,Ethnoreligion,38.545743,-106.92526,1,Engaged,Little,Free,Moderate,High,Caution,A007,C0029,102289,Cora,USA,US,MX,,,American Peoples,,1,Engaged yet Unreached,"<10,000",Diaspora,USA
